class,precision,recall,f1-score,support,accuracy
credit_card,0.78125,0.8,0.7905138339920948,125,
credit_reporting,0.8235294117647058,0.8383233532934131,0.8308605341246291,167,
debt_collection,0.7823529411764706,0.7471910112359551,0.764367816091954,178,
mortgages_and_loans,0.8560606060606061,0.8560606060606061,0.8560606060606061,132,
retail_banking,0.7307692307692307,0.7450980392156863,0.7378640776699028,102,
,,,,,0.7982954545454546
macro avg,0.7947924379542026,0.797334601961132,0.7959333735878374,704,
weighted avg,0.7982712312962772,0.7982954545454546,0.7981357182308564,704,
