class,precision,recall,f1-score,support,accuracy
credit_card,0.8785046728971962,0.752,0.8103448275862069,125,
credit_reporting,0.7591623036649214,0.8682634730538922,0.8100558659217877,167,
debt_collection,0.8275862068965517,0.8089887640449438,0.8181818181818181,178,
mortgages_and_loans,0.8739495798319328,0.7878787878787878,0.8286852589641434,132,
retail_banking,0.7699115044247787,0.8529411764705882,0.8093023255813954,102,
,,,,,0.8153409090909091
macro avg,0.821822853543076,0.8140144402896423,0.8153140192470703,704,
weighted avg,0.8207327438081251,0.8153409090909091,0.8155455796678228,704,
