class,precision,recall,f1-score,support,accuracy
credit_card,0.6967213114754098,0.68,0.688259109311741,125,
credit_reporting,0.7909604519774012,0.8383233532934131,0.8139534883720931,167,
debt_collection,0.7314285714285714,0.7191011235955056,0.7252124645892352,178,
mortgages_and_loans,0.725925925925926,0.7424242424242424,0.7340823970037453,132,
retail_banking,0.7578947368421053,0.7058823529411765,0.7309644670050761,102,
,,,,,0.7428977272727273
macro avg,0.7405861995298827,0.7371462144508676,0.7384943852563781,704,
weighted avg,0.7421908103821803,0.7428977272727273,0.742198426076709,704,
