class,precision,recall,f1-score,support,accuracy
credit_card,0.7348484848484849,0.776,0.754863813229572,125,
credit_reporting,0.7796610169491526,0.8263473053892215,0.8023255813953488,167,
debt_collection,0.8095238095238095,0.7640449438202247,0.7861271676300579,178,
mortgages_and_loans,0.823076923076923,0.8106060606060606,0.8167938931297709,132,
retail_banking,0.845360824742268,0.803921568627451,0.8241206030150755,102,
,,,,,0.7954545454545454
macro avg,0.7984942118281275,0.7961839756885916,0.796846211679965,704,
weighted avg,0.7969142705989665,0.7954545454545454,0.7956734090703658,704,
