class,precision,recall,f1-score,support,accuracy
credit_card,0.7777777777777778,0.784,0.7808764940239045,125,
credit_reporting,0.7965116279069767,0.8203592814371258,0.8082595870206489,167,
debt_collection,0.8441558441558441,0.7303370786516854,0.7831325301204819,178,
mortgages_and_loans,0.8095238095238095,0.9015151515151515,0.8530465949820788,132,
retail_banking,0.7523809523809524,0.7745098039215687,0.7632850241545894,102,
,,,,,0.7997159090909091
macro avg,0.7960700023490721,0.8021442631051062,0.7977200460603406,704,
weighted avg,0.801277562986403,0.7997159090909091,0.7989257473697227,704,
