class,precision,recall,f1-score,support,accuracy
credit_card,0.7723577235772358,0.76,0.7661290322580646,125,
credit_reporting,0.7409326424870466,0.8562874251497006,0.7944444444444444,167,
debt_collection,0.8291139240506329,0.7359550561797753,0.7797619047619048,178,
mortgages_and_loans,0.8809523809523809,0.8409090909090909,0.8604651162790699,132,
retail_banking,0.8269230769230769,0.8431372549019608,0.8349514563106797,102,
,,,,,0.8039772727272727
macro avg,0.8100559495980747,0.8072577654281055,0.8071503908108326,704,
weighted avg,0.8075207576070625,0.8039772727272727,0.8039522928900934,704,
