class,precision,recall,f1-score,support,accuracy
credit_card,0.7153284671532847,0.784,0.748091603053435,125,
credit_reporting,0.8383233532934131,0.8383233532934131,0.838323353293413,167,
debt_collection,0.8424242424242424,0.7808988764044944,0.8104956268221575,178,
mortgages_and_loans,0.8396946564885496,0.8333333333333334,0.8365019011406843,132,
retail_banking,0.7788461538461539,0.7941176470588235,0.7864077669902914,102,
,,,,,0.8068181818181818
macro avg,0.8029233746411288,0.8061346420180129,0.8039640502599962,704,
weighted avg,0.8091613293955568,0.8068181818181818,0.8074027203687549,704,
