class,precision,recall,f1-score,support,accuracy
credit_card,0.7272727272727273,0.832,0.7761194029850746,125,
credit_reporting,0.7885714285714286,0.8263473053892215,0.8070175438596491,167,
debt_collection,0.7931034482758621,0.7752808988764045,0.7840909090909092,178,
mortgages_and_loans,0.88,0.8333333333333334,0.8560311284046693,132,
retail_banking,0.8620689655172413,0.7352941176470589,0.7936507936507937,102,
,,,,,0.8025568181818182
macro avg,0.8102033139274518,0.8004511310492036,0.8033819555982191,704,
weighted avg,0.8066249541994055,0.8025568181818182,0.8029879643716972,704,
