class,precision,recall,f1-score,support,accuracy
credit_card,0.7948717948717948,0.744,0.768595041322314,125,
credit_reporting,0.7513513513513513,0.8323353293413174,0.7897727272727273,167,
debt_collection,0.7914110429447853,0.7247191011235955,0.7565982404692082,178,
mortgages_and_loans,0.8014184397163121,0.8560606060606061,0.8278388278388279,132,
retail_banking,0.8367346938775511,0.803921568627451,0.8200000000000001,102,
,,,,,0.7897727272727273
macro avg,0.7951574645523589,0.7922073210305939,0.7925609673806155,704,
weighted avg,0.7909658927512574,0.7897727272727273,0.789141530821135,704,
