class,precision,recall,f1-score,support,accuracy
credit_card,0.8695652173913043,0.8,0.8333333333333333,125,
credit_reporting,0.8022598870056498,0.8502994011976048,0.8255813953488372,167,
debt_collection,0.8114285714285714,0.797752808988764,0.8045325779036827,178,
mortgages_and_loans,0.8712121212121212,0.8712121212121212,0.8712121212121212,132,
retail_banking,0.819047619047619,0.8431372549019608,0.8309178743961353,102,
,,,,,0.8309659090909091
macro avg,0.8347026832170531,0.8324803172600902,0.8331154604388219,704,
weighted avg,0.8318894831832377,0.8309659090909091,0.8309647467971361,704,
