class,precision,recall,f1-score,support,accuracy
credit_card,0.7876106194690266,0.712,0.7478991596638657,125,
credit_reporting,0.7692307692307693,0.8383233532934131,0.8022922636103152,167,
debt_collection,0.8497109826589595,0.8258426966292135,0.8376068376068376,178,
mortgages_and_loans,0.8968253968253969,0.8560606060606061,0.8759689922480621,132,
retail_banking,0.7818181818181819,0.8431372549019608,0.8113207547169811,102,
,,,,,0.8167613636363636
macro avg,0.8170391900004669,0.8150727821770387,0.8150176015692123,704,
weighted avg,0.81859066439612,0.8167613636363636,0.8166858580011354,704,
