class,precision,recall,f1-score,support,accuracy
credit_card,0.8046875,0.824,0.8142292490118578,125,
credit_reporting,0.7955801104972375,0.8622754491017964,0.8275862068965518,167,
debt_collection,0.8535031847133758,0.7528089887640449,0.7999999999999999,178,
mortgages_and_loans,0.8208955223880597,0.8333333333333334,0.8270676691729324,132,
retail_banking,0.8365384615384616,0.8529411764705882,0.8446601941747574,102,
,,,,,0.8210227272727273
macro avg,0.8222409558274268,0.8250717895339525,0.8227086638512198,704,
weighted avg,0.8225234586138729,0.8210227272727273,0.8206162284301971,704,
