class,precision,recall,f1-score,support,accuracy
credit_card,0.8412698412698413,0.848,0.844621513944223,125,
credit_reporting,0.8066298342541437,0.874251497005988,0.839080459770115,167,
debt_collection,0.8690476190476191,0.8202247191011236,0.8439306358381503,178,
mortgages_and_loans,0.8625954198473282,0.8560606060606061,0.8593155893536122,132,
retail_banking,0.826530612244898,0.7941176470588235,0.8099999999999999,102,
,,,,,0.8409090909090909
macro avg,0.841214665332766,0.8385308938453082,0.83938963978122,704,
weighted avg,0.841939071787607,0.8409090909090909,0.8408713593728759,704,
