class,precision,recall,f1-score,support,accuracy
credit_card,0.7938931297709924,0.832,0.8125,125,
credit_reporting,0.7486631016042781,0.8383233532934131,0.7909604519774012,167,
debt_collection,0.8355263157894737,0.7134831460674157,0.7696969696969697,178,
mortgages_and_loans,0.8235294117647058,0.8484848484848485,0.8358208955223881,132,
retail_banking,0.8469387755102041,0.8137254901960784,0.8300000000000002,102,
,,,,,0.8039772727272727
macro avg,0.8097101468879307,0.8092033676083512,0.8077956634393519,704,
weighted avg,0.8069328137141999,0.8039772727272727,0.8034762987148322,704,
