class,precision,recall,f1-score,support,accuracy
credit_card,0.765625,0.784,0.774703557312253,125,
credit_reporting,0.7897727272727273,0.8323353293413174,0.8104956268221574,167,
debt_collection,0.7797619047619048,0.7359550561797753,0.7572254335260116,178,
mortgages_and_loans,0.8115942028985508,0.8484848484848485,0.8296296296296296,132,
retail_banking,0.8404255319148937,0.7745098039215687,0.806122448979592,102,
,,,,,0.7940340909090909
macro avg,0.7974358733696153,0.795057007585502,0.7956353392539286,704,
weighted avg,0.7943844155399039,0.7940340909090909,0.793625628434647,704,
