class,precision,recall,f1-score,support,accuracy
credit_card,0.6933333333333334,0.832,0.7563636363636365,125,
credit_reporting,0.764367816091954,0.7964071856287425,0.7800586510263929,167,
debt_collection,0.8758169934640523,0.7528089887640449,0.8096676737160121,178,
mortgages_and_loans,0.8120300751879699,0.8181818181818182,0.8150943396226416,132,
retail_banking,0.8723404255319149,0.803921568627451,0.8367346938775511,102,
,,,,,0.796875
macro avg,0.803577728721845,0.8006639122404113,0.7995837989212469,704,
weighted avg,0.8045145030109256,0.796875,0.7981185891960386,704,
