class,precision,recall,f1-score,support,accuracy
credit_card,0.7931034482758621,0.736,0.7634854771784233,125,
credit_reporting,0.7171717171717171,0.8502994011976048,0.7780821917808218,167,
debt_collection,0.8431372549019608,0.7247191011235955,0.7794561933534744,178,
mortgages_and_loans,0.8074074074074075,0.8257575757575758,0.8164794007490637,132,
retail_banking,0.803921568627451,0.803921568627451,0.8039215686274509,102,
,,,,,0.7869318181818182
macro avg,0.7929482792768796,0.7881395293412454,0.7882849663378467,704,
weighted avg,0.7919912172620545,0.7869318181818182,0.7867810994183168,704,
