class,precision,recall,f1-score,support,accuracy
credit_card,0.8629032258064516,0.856,0.859437751004016,125,
credit_reporting,0.8372093023255814,0.8622754491017964,0.8495575221238938,167,
debt_collection,0.8538011695906432,0.8202247191011236,0.836676217765043,178,
mortgages_and_loans,0.8796992481203008,0.8863636363636364,0.8830188679245284,132,
retail_banking,0.8557692307692307,0.8725490196078431,0.8640776699029126,102,
,,,,,0.8565340909090909
macro avg,0.8578764353224415,0.8594825648348798,0.8585536057440788,704,
weighted avg,0.8566224818063272,0.8565340909090909,0.8564326771711716,704,
